Date,T-bill(cont.comp),Canada,Japan,France,Germany,Italy,Switzerland,UK,US,World
1984-01-28,0.008083,-0.056217,0.038545,0.04675,-0.007701,0.148226,-0.043409,0.030493,-0.020176,1.8e-05
1984-02-28,0.007328,-0.018076,-0.010481,0.016262,0.028085,0.010753,0.007578,0.031942,-0.049761,-0.024015
1984-03-28,0.00728,-0.03771,0.172993,0.008906,-0.004188,0.002217,0.00439,0.031058,0.010205,0.039581
1984-04-28,0.00813,-0.034685,-0.030099,0.047751,-0.044879,-0.061599,-0.016072,-0.013917,0.001243,-0.011959
1984-05-28,0.007898,-0.051168,-0.130974,-0.044147,-0.055262,-0.0522,-0.057652,-0.111354,-0.064943,-0.08304
1984-06-28,0.007534,-0.026785,-0.00302,-0.034761,-0.00111,0.001351,-0.040357,-0.000823,0.012666,0.00091
1984-07-28,0.008755,-0.038849,-0.079537,-0.115354,-0.110126,-0.049604,-0.071836,-0.06833,-0.017595,-0.044133
1984-08-28,0.007963,0.137624,0.077601,0.097949,0.051833,0.048416,0.062593,0.093053,0.099582,0.092171
1984-09-28,0.008293,-0.017896,-0.012738,-0.018035,0.007214,-0.093938,-0.038638,-0.025831,-0.007747,-0.012292
1984-10-28,0.009766,-0.02822,0.039368,0.007071,0.016339,-0.010072,0.007515,-0.015024,-0.005703,0.00068
1984-11-28,0.007334,-0.006959,-0.000711,-0.02903,-0.017909,-0.007562,-0.022458,0.013649,-0.018116,-0.0113
1984-12-28,0.006923,0.008958,0.031209,-0.020335,-0.006549,0.069264,-0.006776,0.006219,0.01722,0.013689
1985-01-28,0.006474,0.073082,-0.011657,0.050807,0.034672,0.125058,0.027056,0.01544,0.072816,0.048451
1985-02-28,0.006033,-0.04812,0.026594,-0.0327,-0.038284,-0.014509,-0.0636,-0.058793,0.004836,-0.004345
1985-03-28,0.00616,0.019053,0.050736,0.118015,0.090926,0.034722,0.081334,0.153414,-0.004431,0.028277
1985-04-28,0.007565,-0.002616,-0.041866,0.016473,0.034761,0.017526,0.035362,0.017197,-0.010769,-0.010589
1985-05-28,0.006062,0.024985,0.028701,0.078237,0.09589,0.087648,0.027392,0.044819,0.054862,0.045055
1985-06-28,0.005546,-0.011733,0.039469,-0.034504,0.080752,0.104381,0.081784,-0.038785,0.008179,0.01203
1985-07-28,0.006196,0.040946,-0.001268,0.015915,0.026748,0.092617,0.124922,0.118244,-0.010123,0.014167
1985-08-28,0.005792,-0.017097,0.018136,0.038385,0.0876,0.05762,0.046883,0.047681,-0.015798,0.002139
1985-09-28,0.006049,-0.069284,0.09996,-0.022184,0.106592,0.104575,-0.0078,-0.041188,-0.03863,0.001149
1985-10-28,0.006021,0.011387,0.025427,0.082363,0.147403,0.032571,0.134466,0.10173,0.038386,0.047521
1985-11-28,0.006156,0.058167,0.008668,0.156671,0.006914,0.105294,0.103481,0.071611,0.06237,0.049466
1985-12-28,0.006139,-0.002888,0.052911,0.091617,0.154955,0.058115,0.095307,-0.046781,0.044476,0.040405
1986-01-28,0.004865,-0.048625,0.02273,0.083145,0.033348,0.077854,-0.036318,-0.004046,0.000504,0.00967
1986-02-28,0.005296,0.006177,0.115102,0.174977,0.049227,0.304023,0.052728,0.114018,0.069526,0.084541
1986-03-28,0.005963,0.083258,0.208527,0.092156,0.028074,0.200379,0.033765,0.083837,0.048964,0.091501
1986-04-28,0.005341,0.012769,0.032653,0.119157,0.13021,0.110587,0.068352,0.053517,-0.020095,0.021894
1986-05-28,0.004934,0.007363,-0.011583,-0.139466,-0.162724,-0.044739,-0.067404,-0.08687,0.043448,-0.008081
1986-06-28,0.005246,-0.02483,0.096271,0.053367,0.03505,-0.100496,0.048295,0.074966,0.006948,0.034605
1986-07-28,0.005011,-0.051838,0.127155,0.106728,-0.012709,0.169974,-0.019216,-0.091226,-0.059205,0.002757
1986-08-28,0.004614,0.035894,0.086264,0.101843,0.173079,0.134027,0.127219,0.058149,0.068415,0.082495
1986-09-28,0.004783,-0.01236,0.020122,-0.081322,-0.06421,-0.100308,-0.046643,-0.088642,-0.090714,-0.044782
1986-10-28,0.004209,0.017133,-0.137643,-0.00539,-0.009326,0.027484,0.004941,0.016342,0.051614,-0.021655
1986-11-28,0.003924,0.006184,0.062338,0.071122,0.08895,-0.016079,0.077152,0.032376,0.018693,0.038109
1986-12-28,0.004767,0.012145,0.068652,0.001518,0.000136,0.013791,0.007093,0.047529,-0.030843,0.014894
1987-01-28,0.004151,0.136617,0.156659,0.104482,-0.075541,0.005381,0.009603,0.109571,0.12774,0.113044
1987-02-28,0.004309,0.043754,0.013591,0.016843,-0.055538,-0.0352,-0.035871,0.116835,0.030789,0.02841
